geneID	Sample01	Sample02	Sample03	Sample04	Sample05	Sample06	Sample07	Sample08
brnQ	10.6295210359149	12.090695315709674	13.247184762385935	13.651176997862471	12.434663370525424	13.573020878770524	14.228418177753655	14.560946886483558
CD196_0149	10.758418196669187	9.678571768650057	4.911794487926328	5.990574090314096	4.620877642874773	4.940039644546036	4.671929335275075	5.894896767495127
CD196_0521	6.209975514076251	8.183808952214438	9.555651022829117	10.238512199780285	8.527774123292488	10.366290627262666	10.821659844283065	10.36738297913278
CD196_0528	5.473014602075028	4.724406638129848	8.818688900731045	9.263605678576473	9.144445791408947	7.2619566835593545	9.626111548611261	10.561656070579081
CD196_0965	8.932448347893807	9.116692829331534	8.081719015621019	5.990574240779029	6.205845028244301	6.524992873704655	4.671929335275075	5.894894057999717
CD196_1240	8.746033827111566	9.933830899432973	8.612233496850399	6.727545936095074	7.79080794754258	6.5249933063785335	4.671929335275075	5.157930734656896
CD196_1314	6.2099812950694195	4.724406638129848	4.911794487926328	8.49308564974236	8.527772087563276	8.109952236604853	6.256879326223333	7.965288790122376
CD196_2661	9.770697155209602	10.607022265814836	11.679980477256448	12.388617085060542	12.257507357442234	11.760207307427695	12.826729570574084	12.470818789137049
CD196_2664	3.8880484794934445	4.724406638129848	7.233724287193466	8.106061322459272	6.942810762919355	8.640466148646718	7.841838925520043	9.245396424591979
CD196_2672	10.15484040988765	10.874126960828324	12.848433028454092	12.98682553063228	11.78075496881707	12.197415822323988	13.691502612661028	13.426280315553074
CD196_3248	12.168824151163783	13.21221489056737	14.079216607516905	14.781746735599915	14.154212711984941	14.364187840280765	14.75006147384932	14.594641564527054
fchA	9.379900279895223	8.972304000636706	8.081720171410275	4.405589736712518	8.080313252007063	4.940039644546036	4.671929335275075	6.74289167353162
gutD	3.8880484794934445	4.724406638129848	4.911794487926328	4.405589736712518	6.205843313362716	6.524992589984009	6.993843960417968	11.040578055159592
nagA	9.245605951321867	7.894304041805597	4.911794487926328	4.405589736712518	4.620877642874773	4.940039644546036	4.671929335275075	5.1579277406014015
rnfG	8.842249861747716	8.424817185496794	8.37122707737735	6.727549553799184	8.080313493398005	4.940039644546036	4.671929335275075	5.157929101536487
rpsE	7.347484742625578	8.81183802287653	7.71914907898781	4.405589736712518	4.620877642874773	4.940039644546036	6.256881945634137	3.572953829223589
tdcB	11.41943686200372	10.991158648099885	7.233721804111361	8.493085939405205	9.978436002402674	8.109949635824517	6.993843159766392	6.7428940448547205
